,0,1
249,-18.64825993,-10.27003327
250,-18.69117139,-16.48852363
251,-22.20554075,-21.38541055
252,-24.97201875,-24.16113406
253,-26.69314461,-24.11905098
254,-27.40599687,-28.01138759
255,-29.49844924,-29.92251849
256,-30.58169452,-30.78342319
257,-29.76051416,-32.08342437
258,-27.60115868,-31.40132445
259,-20.79630634,-31.9712561
260,-19.37899742,-26.94598347
261,-18.16839127,-34.15008309
262,-17.85067286,-14.36364311
263,-17.57816101,0
264,-7.064366145,-14.43305951
265,-16.46499604,-37.26337841
266,-28.41061375,-43.16810837
267,-34.66167816,-44.16029543
268,-40.32822633,-44.85485336
269,-38.13326093,-35.03687453
270,-36.78058973,-42.10263094
271,-42.77255623,-47.48621543
272,-41.14616617,-50.43057413
273,-39.61877511,-50.40237325
274,-38.7955137,-42.64343823
275,-34.16754532,-33.53281001
276,-29.90427974,-26.80561975
277,-26.71161253,-28.45214707
278,-10.91921477,-12.49950993
279,-7.360691259,0
280,-4.409861069,-5.613181293
281,-40.19603144,-24.78631991
282,-45.17998002,-29.05200505
283,-34.84840871,-32.24573457
284,-35.7992391,-35.1638875
285,-33.08287898,-31.51615894
286,-32.84636948,-38.44021678
287,-38.74184019,-41.99143946
288,-41.51098789,-42.51047647
289,-41.22748211,-42.20149982
290,-38.92402808,-36.96213508
291,-30.78053089,-29.57894182
292,-25.17564156,-23.87025464
293,-23.82980218,-27.90376735
294,-13.89557659,-13.5646559
295,-10.24288809,-18.09837323
296,-34.47770056,-39.27702793
297,-59.17244218,-63.75709498
298,-46.69609173,-60.43279082
299,-53.06247066,-58.92831075
300,-51.09659133,-59.07999152
301,-47.34073873,-54.0906204
302,-47.66187008,-68.94140756
303,-54.43083899,-72.17368609
304,-56.67309202,-76.89566272
305,-58.62059856,-75.47917962
306,-58.3673722,-66.64011791
307,-51.80866467,-55.70029241
308,-45.48844068,-49.61566749
309,-36.4608081,-74.16309679
310,-38.95466723,-31.17602777
311,-25.16494491,0
312,-54.14591809,-22.06076854
313,-67.08687114,-48.13711965
314,-61.47312245,-53.08159724
315,-52.22341102,-54.023215
316,-53.87067709,-55.85505146
317,-48.00559579,-54.62610199
318,-54.6645688,-62.58950827
319,-62.87058401,-73.18126327
320,-64.3063995,-80.48614961
321,-70.85519821,-79.95666039
322,-71.28093256,-72.14439559
