,0
737,-33.46026435510207
738,-31.643302710275634
739,-23.868967734065436
740,-17.746447422368462
741,-13.622476110268963
742,-8.834117455839362
743,-4.439287258368552
744,-5.832134809270187
745,-14.487126834918769
746,-24.79504540574011
747,-30.28265213141347
748,-30.788920530540352
749,-29.5340353697092
750,-30.17567375266296
751,-33.57273673240557
752,-36.352925943884074
753,-36.58768141019286
754,-33.40206007822408
755,-25.00054711351997
756,-19.306493284211868
757,-16.55357190537842
758,-8.839207134152531
759,-2.835878050803302
760,-4.375273850985934
761,-10.999686389802221
762,-19.291664244827487
763,-25.756453531312943
764,-26.718254085353834
765,-26.891826385958822
766,-28.3874188448645
767,-31.27013891245538
768,-33.81658345822467
769,-35.245647400020545
770,-32.912023947549216
771,-25.096573170479772
772,-18.045816830533724
773,-12.5222672247166
774,-7.4593037768113675
775,-3.4632463076453774
776,-4.550754780958357
777,-10.321403512170875
778,-22.637212069306955
779,-27.203551344982444
780,-28.004789196723507
781,-27.49489380720989
782,-27.687605914462168
783,-29.438389849445713
784,-31.480171385275682
785,-31.54778205361562
786,-30.902665327422156
787,-23.879480060301034
788,-17.879861209740852
789,-14.125064006036226
790,-8.432098273844133
791,-3.549045440891817
792,-6.031155501440992
793,-14.566813597480703
794,-22.87455994185936
795,-28.590375713487774
796,-28.198851020070492
797,-27.4608179352324
798,-27.424851271545094
799,-29.607169766031532
800,-31.50944892734813
801,-33.0819395283381
802,-30.169359221858542
803,-23.894630177522927
804,-18.62388774754585
805,-14.742722631236475
806,-9.94854890041637
807,-4.110628416359077
808,-5.1619799576366034
809,-11.808808486219974
810,-20.873139079381914
811,-25.154254209400335
812,-26.75413156075294
813,-26.428641875917435
814,-27.605647823494124
815,-24.725175300765827
816,-21.70151990016454
817,-17.7756119926092
818,-17.983182868675243
819,-14.465216245451472
820,-11.887193099774223
821,-9.311292635356082
822,-4.938682213418318
823,-2.067574460950823
824,-2.7021372397075254
825,-5.2724069501974355
826,-11.045547007593612
827,-16.213217505843247
828,-17.52537343946925
829,-18.68164608298285
830,-19.141156035550495
831,-18.530174640193323
832,-19.551844319158562
833,-16.7606314352588
834,-13.704172582258295
835,-9.164797899047997
836,-6.371652602237262
837,-5.350072111560223
838,-4.93694006885552
839,-2.9266182152159104
840,-4.409801610290316
841,-6.854345563850501
842,-10.427365144435925
843,-14.722447160386139
844,-16.80274614494587
845,-17.456026572452387
846,-18.384922594034123
847,-18.121573362529077
848,-17.4268203810105
849,-13.772687025251969
850,-9.372749311810352
851,-6.947767322794917
852,-6.891097084473941
853,-7.225565056988032
854,-7.880635196144397
855,-4.360629134063828
856,-5.466421206457397
857,-7.846214462785866
858,-10.29691240823172
859,-15.176165820106789
860,-17.34193691418956
861,-19.784816019703385
862,-20.359860480802666
863,-19.886978230891216
864,-19.572286274813536
865,-18.320023249655407
866,-15.57513476264566
867,-10.56567834177332
868,-7.817692048220152
869,-6.692605576146434
870,-5.950101185126684
871,-2.3944554830822113
872,-2.9336343605541515
873,-4.502432566412708
874,-7.929332001500484
875,-13.470249539972698
876,-18.80947073762816
877,-20.466416701655703
878,-21.947186067062887
879,-23.29209194011517
880,-24.379844194749225
881,-22.069403751323478
882,-17.36412696029322
883,-10.287208722475782
884,-6.824610188565302
885,-5.478592434853482
886,-4.476199317910755
887,-1.6783567712549257
888,-1.7987312308927699
889,-2.4948517661637197
890,-5.059895042965223
891,-8.683751947823495
892,-11.836082264750914
893,-13.800466204082696
894,-15.325348096832585
895,-18.138085087617455
896,-20.19215082367522
897,-18.94573260433701
898,-14.632093478555731
899,-8.838868218657382
900,-6.01155191569508
901,-4.467232922003916
902,-3.374866659927079
903,-1.6977106297938889
904,-1.885517381195271
905,-2.5138488715498823
906,-4.311468549609117
907,-7.646432697222437
908,-9.756782189019006
909,-10.98689084338875
910,-14.381979789019255
911,-17.07328395247967
912,-17.312023162327975
913,-17.489495964070144
914,-12.765775035040548
915,-8.03664334986027
916,-5.61850507549255
917,-4.277909969703174
918,-3.548082207379281
919,-2.2085514151623897
920,-2.3922673970784274
921,-2.892459100836092
922,-3.391592436907146
923,-7.160332743000055
924,-10.027088107003493
925,-13.570312853444918
926,-18.173278786140372
927,-21.749723196992605
928,-23.616713525612212
929,-22.899485095467753
930,-19.074627518440693
931,-12.08314571483102
932,-8.897001144904806
933,-7.319117625421811
934,-6.660890220863251
935,-2.8625572407462556
936,-3.590957990458975
937,-5.510860757523503
938,-9.056909799757861
939,-16.031487449811095
940,-20.854986289790688
941,-23.35271024666038
942,-23.43965098999574
943,-22.0912489360461
944,-21.539215053301902
945,-14.931944503477268
946,-10.137027536922176
947,-6.678710040845203
948,-5.289911638227764
949,-4.533374956531517
950,-4.049837679123357
951,-2.405229428296522
952,-3.138553371517773
953,-5.53975776289964
954,-11.386930045385995
955,-15.993184052973007
956,-18.545764752970328
957,-17.250501081129016
958,-16.59515743122219
959,-15.312308769098038
960,-15.063616146286847
961,-9.579410467336785
962,-7.0323891706371455
963,-5.013778752080995
